74.0,4.0,0.0,1625.0,352.0,123.0,356.0,-1,-1 
74.0,2.0,0.0,661.0,512.0,162.0,545.0,-1,-1 
74.0,3.0,0.0,422.0,285.0,70.0,215.0,-1,-1 
74.0,4.0,1.0,1626.0,352.0,123.0,356.0,-1,-1 
74.0,3.0,1.0,422.0,286.0,71.0,215.0,-1,-1 
74.0,2.0,1.0,661.0,512.0,162.0,543.0,-1,-1 
74.0,2.0,2.0,663.0,511.0,153.0,545.0,-1,-1 
74.0,4.0,2.0,1628.0,352.0,121.0,356.0,-1,-1 
74.0,3.0,2.0,422.0,284.0,69.0,216.0,-1,-1 
74.0,2.0,3.0,665.0,510.0,149.0,546.0,-1,-1 
74.0,3.0,3.0,422.0,284.0,68.0,216.0,-1,-1 
74.0,4.0,3.0,1629.0,351.0,120.0,357.0,-1,-1 
74.0,4.0,4.0,1628.0,352.0,121.0,356.0,-1,-1 
74.0,3.0,4.0,420.0,284.0,69.0,215.0,-1,-1 
74.0,2.0,4.0,669.0,508.0,151.0,549.0,-1,-1 
74.0,3.0,5.0,415.0,285.0,72.0,213.0,-1,-1 
74.0,2.0,5.0,672.0,507.0,155.0,546.0,-1,-1 
74.0,4.0,5.0,1621.0,354.0,125.0,355.0,-1,-1 
74.0,3.0,6.0,407.0,287.0,78.0,212.0,-1,-1 
74.0,2.0,6.0,668.0,505.0,164.0,542.0,-1,-1 
74.0,4.0,6.0,1613.0,355.0,132.0,352.0,-1,-1 
74.0,2.0,7.0,663.0,503.0,173.0,542.0,-1,-1 
74.0,4.0,7.0,1607.0,356.0,132.0,350.0,-1,-1 
74.0,3.0,7.0,401.0,287.0,83.0,212.0,-1,-1 
74.0,2.0,8.0,663.0,501.0,173.0,541.0,-1,-1 
74.0,3.0,8.0,399.0,287.0,85.0,213.0,-1,-1 
74.0,4.0,8.0,1608.0,358.0,129.0,351.0,-1,-1 
74.0,4.0,9.0,1609.0,359.0,123.0,350.0,-1,-1 
74.0,2.0,9.0,663.0,499.0,175.0,537.0,-1,-1 
74.0,3.0,9.0,396.0,289.0,89.0,211.0,-1,-1 
